UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
757,22.0,2.0,2.0,7.0
194,5.0,1.0,1.0,14.0
1656,32.0,1.0,2.0,7.0
563,11.0,1.0,2.0,2.0
1276,13.0,1.0,2.0,7.0
1077,26.0,2.0,2.0,7.0
2109,4.0,3.0,2.0,7.0
918,26.0,2.0,2.0,7.0
1349,14.0,1.0,2.0,7.0
525,18.0,1.0,2.0,1.0
1223,12.0,1.0,2.0,7.0
238,16.0,3.0,2.0,4.0
542,32.0,1.0,2.0,1.0
2429,77.0,2.0,2.0,7.0
2331,42.0,1.0,2.0,7.0
1625,23.0,1.0,2.0,7.0
2262,161.0,1.0,2.0,7.0
230,23.0,3.0,3.0,1.0
1477,24.0,1.0,2.0,7.0
1602,18.0,1.0,2.0,7.0
718,25.0,1.0,2.0,7.0
1806,12.0,1.0,2.0,7.0
1001,22.0,1.0,2.0,7.0
317,23.0,1.0,3.0,3.0
109,25.0,4.0,3.0,22.0
781,23.0,3.0,2.0,7.0
1256,21.0,1.0,2.0,7.0
2131,27.0,1.0,2.0,7.0
1298,19.0,1.0,2.0,7.0
1808,16.0,1.0,2.0,7.0
1498,20.0,3.0,2.0,7.0
1635,27.0,2.0,2.0,7.0
1547,21.0,2.0,2.0,7.0
1501,23.0,1.0,2.0,7.0
1591,15.0,3.0,2.0,7.0
845,27.0,1.0,2.0,7.0
1093,26.0,2.0,2.0,7.0
87,22.0,1.0,2.0,18.0
1566,31.0,1.0,2.0,7.0
1791,15.0,1.0,2.0,7.0
2078,13.0,1.0,2.0,7.0
2224,37.0,1.0,2.0,7.0
1990,29.0,1.0,2.0,7.0
281,23.0,1.0,1.0,2.0
48,21.0,2.0,1.0,18.0
1936,28.0,1.0,2.0,7.0
1292,30.0,2.0,2.0,7.0
165,29.0,1.0,1.0,19.0
857,17.0,2.0,2.0,7.0
1890,15.0,1.0,2.0,7.0
68,19.0,2.0,1.0,16.0
1838,26.0,2.0,2.0,7.0
1179,32.0,1.0,2.0,7.0
166,23.0,1.0,2.0,12.0
1571,24.0,1.0,2.0,7.0
1887,18.0,1.0,2.0,7.0
1614,10.0,2.0,2.0,7.0
161,22.0,1.0,1.0,16.0
1138,27.0,1.0,2.0,7.0
59,42.0,2.0,3.0,14.0
251,27.0,1.0,2.0,3.0
854,25.0,1.0,2.0,7.0
419,33.0,2.0,1.0,2.0
1022,22.0,1.0,2.0,7.0
1686,22.0,1.0,2.0,7.0
635,20.0,1.0,2.0,3.0
1933,13.0,1.0,2.0,7.0
950,23.0,1.0,2.0,7.0
1480,30.0,1.0,2.0,7.0
2361,36.0,1.0,2.0,7.0
552,23.0,1.0,2.0,1.0
1099,23.0,1.0,2.0,7.0
732,22.0,1.0,2.0,7.0
99,25.0,1.0,3.0,16.0
2326,6.0,2.0,2.0,7.0
905,27.0,2.0,2.0,7.0
158,27.0,2.0,2.0,18.0
1969,15.0,1.0,2.0,7.0
1237,32.0,2.0,2.0,7.0
668,22.0,3.0,2.0,7.0
1446,27.0,1.0,2.0,7.0
1927,29.0,1.0,2.0,7.0
295,23.0,1.0,1.0,6.0
387,19.0,1.0,2.0,4.0
424,26.0,1.0,3.0,5.0
2324,8.0,1.0,2.0,7.0
686,22.0,1.0,2.0,7.0
144,20.0,3.0,3.0,14.0
1503,34.0,1.0,2.0,7.0
933,27.0,1.0,2.0,7.0
233,22.0,2.0,1.0,2.0
448,25.0,1.0,1.0,4.0
2198,95.0,1.0,2.0,7.0
